nombre,poblacion,superficie,continente
Costa de Marfil,31719275,322463,África
Congo (Rep. Dem.),112832000,2344858,África
Sri Lanka,21763170,65610,Asia
Islas Ultramarinas Menores de Estados Unidos,0,34,Oceanía
Caribe Neerlandés,31980,328,América del Norte
Nepal,29911840,147181,Asia
Bolivia,11365333,1098581,América del Sur
Namibia,3022401,825615,África
Haití,11867032,27750,América del Norte
Surinam,616500,163820,América del Sur
Saint Martin,31496,53,América del Norte
Canadá,41651653,9984670,América del Norte
Honduras,9892632,112492,América del Norte
Ciudad del Vaticano,882,0,Europa
Emiratos Árabes Unidos,11294243,83600,Asia
Guinea,14363931,245857,África
Camerún,29442327,475442,África
Chipre,1442614,9251,Europa
Trinidad y Tobago,1367764,5130,América del Norte
Suecia,10605098,450295,Europa
Madagascar,31727042,587041,África
Mayotte,320901,374,África
Islas Caimán,84738,264,América del Norte
Malasia,34231700,330803,Asia
Benín,13224860,112622,África
Groenlandia,56542,2166086,América del Norte
Suiza,9082848,41284,Europa
Georgia,4000921,69700,Asia
Ecuador,18103660,276841,América del Sur
Cabo Verde,491233,4033,África
Luxemburgo,681973,2586,Europa
Santa Lucía,184100,616,América del Norte
Islas Vírgenes de los Estados Unidos,87146,347,América del Norte
Japón,123210000,377930,Asia
Jamaica,2825544,10991,América del Norte
Etiopía,111652998,1104300,África
Pakistán,241499431,796095,Asia
Montserrat,4386,102,América del Norte
Lituania,2894886,65300,Europa
Grecia,10400720,131990,Europa
